country,indicator,period,value,unit,source,status,detail
AUS,ndis_payment_category,2025-26,12209,AUD million,ndis26,official observation,Core: social and community participation
AUS,ndis_payment_category,2025-26,1502,AUD million,ndis26,official observation,Core: consumables and transport
AUS,ndis_payment_category,2025-26,5964,AUD million,ndis26,official observation,Capacity building: daily activities
AUS,ndis_payment_category,2025-26,3436,AUD million,ndis26,official observation,Capacity building: other
AUS,ndis_payment_category,2025-26,1518,AUD million,ndis26,official observation,Capital
AUS,ndis_outcome,June 2026 report,48,%,ndis26,survey observation,Carers in paid employment | entry baseline
AUS,ndis_outcome,June 2026 report,54,%,ndis26,survey observation,Carers in paid employment | latest reassessment
AUS,ndis_outcome,June 2026 report,33,%,ndis26,survey observation,Participants 15+ in social/community activity | entry baseline
AUS,ndis_outcome,June 2026 report,41,%,ndis26,survey observation,Participants 15+ in social/community activity | latest reassessment
AUS,ndis_outcome,June 2026 report,24,%,ndis26,survey observation,"Participants 15–64, 6+ years in scheme, in paid work | entry baseline"
AUS,ndis_outcome,June 2026 report,26,%,ndis26,survey observation,"Participants 15–64, 6+ years in scheme, in paid work | latest reassessment"
AUS,budget_gdp,2024-25,1.3,% annual change,budget26,Budget actual,Budget vintage; later actuals are not substituted
AUS,budget_gdp,2025-26,2.25,% annual change,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gdp,2026-27,1.75,% annual change,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gdp,2027-28,2.25,% annual change,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gdp,2028-29,2.5,% annual change,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gdp,2029-30,2.5,% annual change,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_cpi,2024-25,2.1,% through year to June quarter,budget26,Budget actual,Budget vintage; later actuals are not substituted
AUS,budget_cpi,2025-26,5,% through year to June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_cpi,2026-27,2.5,% through year to June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_cpi,2027-28,2.5,% through year to June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_cpi,2028-29,2.5,% through year to June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_cpi,2029-30,2.5,% through year to June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_wpi,2024-25,3.4,% through year to June quarter,budget26,Budget actual,Budget vintage; later actuals are not substituted
AUS,budget_wpi,2025-26,3.25,% through year to June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_wpi,2026-27,3.5,% through year to June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_wpi,2027-28,3.5,% through year to June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_wpi,2028-29,3.5,% through year to June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_wpi,2029-30,3.75,% through year to June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_unemployment,2024-25,4.2,% June quarter,budget26,Budget actual,Budget vintage; later actuals are not substituted
AUS,budget_unemployment,2025-26,4.25,% June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_unemployment,2026-27,4.5,% June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_unemployment,2027-28,4.5,% June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_unemployment,2028-29,4.5,% June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_unemployment,2029-30,4.25,% June quarter,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gross_debt,2024-25,928.6,AUD billion,budget26,Budget actual,Budget vintage; later actuals are not substituted
AUS,budget_gross_debt,2025-26,982,AUD billion,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gross_debt,2026-27,1051,AUD billion,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gross_debt,2027-28,1120,AUD billion,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gross_debt,2028-29,1193,AUD billion,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gross_debt,2029-30,1249,AUD billion,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gross_debt_gdp,2024-25,33.4,% GDP,budget26,Budget actual,Budget vintage; later actuals are not substituted
AUS,budget_gross_debt_gdp,2025-26,33.1,% GDP,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gross_debt_gdp,2026-27,34,% GDP,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gross_debt_gdp,2027-28,35.2,% GDP,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gross_debt_gdp,2028-29,35.8,% GDP,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_gross_debt_gdp,2029-30,35.6,% GDP,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_cash_balance,2024-25,-10,AUD billion,budget26,Budget actual,Budget vintage; later actuals are not substituted
AUS,budget_cash_balance,2025-26,-28.3,AUD billion,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_cash_balance,2026-27,-31.5,AUD billion,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_cash_balance,2027-28,-31,AUD billion,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_cash_balance,2028-29,-34.4,AUD billion,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_cash_balance,2029-30,-25.3,AUD billion,budget26,Budget forecast,Budget vintage; later actuals are not substituted
AUS,budget_ndis_program,2025-26,53.778,AUD billion,budget26,Budget estimate,Table 6.9.2: includes Commonwealth and state contributions and departmental program costs; differs from participant-only supports
AUS,budget_ndis_program,2026-27,56.125,AUD billion,budget26,Budget estimate,Table 6.9.2: includes Commonwealth and state contributions and departmental program costs; differs from participant-only supports
AUS,budget_ndis_program,2027-28,55.082,AUD billion,budget26,Budget estimate,Table 6.9.2: includes Commonwealth and state contributions and departmental program costs; differs from participant-only supports
AUS,budget_ndis_program,2028-29,55.599,AUD billion,budget26,Budget estimate,Table 6.9.2: includes Commonwealth and state contributions and departmental program costs; differs from participant-only supports
AUS,budget_ndis_program,2029-30,56.239,AUD billion,budget26,Budget estimate,Table 6.9.2: includes Commonwealth and state contributions and departmental program costs; differs from participant-only supports
AUS,wpi_actual,2026Q2,3.2,% through year,abs_wpi26,official observation,
AUS,household_income_mean,2000-01,717,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_mean,2002-03,756,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_mean,2003-04,795,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_mean,2005-06,883,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_mean,2007-08,1049,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_mean,2009-10,1034,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_mean,2011-12,1062,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_mean,2013-14,1099,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_mean,2015-16,1078,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_mean,2017-18,1094,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_mean,2019-20,1124,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_median,2000-01,633,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_median,2002-03,665,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_median,2003-04,711,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_median,2005-06,772,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_median,2007-08,886,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_median,2009-10,872,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_median,2011-12,915,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_median,2013-14,930,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_median,2015-16,912,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_median,2017-18,926,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
AUS,household_income_median,2019-20,959,"2019–20 AUD/week, equivalised disposable household income",abs_wealth,historical survey observation,Graph 1; income-standard break 2007–08; collection-method change 2019–20
